epoch,train_loss,train_accuracy,train_iou,train_dice,val_loss,val_accuracy,val_iou,val_dice
0,1.4536430567418068,0.6974983785906409,0.5359873888428175,0.6760422325007189,1.2615220194513148,0.8059841367331418,0.6624137896931533,0.7838100525127216
1,1.1826852517589885,0.8088937525735621,0.6650484085714279,0.7854902459372841,1.0509913089600476,0.8806976743719794,0.7538881354937049,0.8507817810909313
2,1.0483313929661047,0.8511663773800233,0.7188800524374991,0.8257145496695141,0.9381558095866983,0.9147581552917307,0.7961974574083633,0.8783937821334057
3,0.9816224615798037,0.8696488994478839,0.7410306851103388,0.8392489607052417,0.8692262782291933,0.909102974967523,0.7974308197471232,0.8796887825610059
4,0.9251965970395297,0.8859071364769568,0.7655361036013021,0.8590702164535285,0.9155608984557065,0.9095286117358641,0.7985233918509699,0.8815249071428269
5,0.8783038234778618,0.8982939665813392,0.7799255757544586,0.8681779450591613,0.8119282207705758,0.9281623390587893,0.8218422190032221,0.8952303190122953
6,0.868456867855159,0.8976588670344774,0.7743869850649601,0.8624134262827498,0.7766361399130388,0.9328778494488109,0.8317919699757389,0.9015757750832674
7,0.838155540645632,0.9061785124645614,0.789959206680929,0.8747040152501402,0.8008996763012626,0.9083541198210283,0.8031462232271831,0.8850356575214501
8,0.8189564226699351,0.9102567498840158,0.7935640696862835,0.8767638620146952,0.7881138595667753,0.9263760840350931,0.7887673234976265,0.8675157506526868
9,0.7954907896172287,0.9165935529942526,0.8040130556522372,0.8844433843138079,0.7678726450963453,0.9321892315691168,0.8276349190961231,0.8984752875385862
10,0.7827129527034923,0.9196091825805838,0.8070195299398096,0.8862248576522127,0.7244296778332103,0.941253128376874,0.8455150644436028,0.9098710453871525
11,0.7702739279494326,0.9204659706506974,0.8050862629807175,0.8838598716047477,0.7287015562707727,0.9244897324930538,0.8244992517160648,0.8978202961611026
12,0.7538269087459967,0.9241580664262473,0.8171186478260313,0.8925184574730126,0.7150418785485354,0.9273210520094092,0.8276858674080079,0.8996066229813029
13,0.7415417814866091,0.9258266391917171,0.8166145790420934,0.8915855677589216,0.6869155263358896,0.9395561611110513,0.8484483234810104,0.9126766105041358
14,0.7365267042420868,0.9265788776582462,0.8221103457737354,0.8961683802124282,0.6661074974320151,0.9469268267804926,0.8566883529225987,0.9176505932753738
15,0.7298271606790374,0.9263927250506192,0.8237771423385093,0.8972076742788797,0.6697794632478193,0.944048364054073,0.8498342708882057,0.9122232426748134
16,0.7117339100932804,0.9275082061093757,0.8167664691601759,0.8907903466880694,0.6753666224804792,0.9403198889710687,0.8440153619105165,0.9093384539539165
17,0.6854284038910499,0.9258252317749197,0.8217582125232071,0.8955023925773861,0.6977491649714384,0.8963221189650622,0.7878460529627224,0.8741101834810142
18,0.6391690927862781,0.9270552379792911,0.8222934184392513,0.8969068250849708,0.5442030077630823,0.9453043124892495,0.8465844232476122,0.909926104839101
19,0.5994983509904639,0.9286953458758841,0.8242142696465729,0.8976603716199422,0.5531559166583148,0.9324371327053417,0.8242728290232745,0.8964558087966659
20,0.5677740221519416,0.9321125946153602,0.8267827651717136,0.8976704973046287,0.49290671944618225,0.9511137848550623,0.8613879430023108,0.920031855277943
21,0.5603299561219338,0.9327914993307869,0.8274236323060737,0.8980588394343667,0.4874827834692868,0.9500130780718543,0.8631258898160674,0.9215591477625296
22,0.5509685074162279,0.9345137712962267,0.8336518778083257,0.9036739761533942,0.47841389951380814,0.9516154392199083,0.8650811885794002,0.9225645629745539
23,0.5797756024745115,0.9290980599884294,0.8226119539495846,0.8961886956908961,0.49297611889514054,0.9501032016494058,0.8593781208901693,0.9190057270003091
24,0.535331153207355,0.9358463015651431,0.8362507829084299,0.9051144112291439,0.4775118421424519,0.9482929787852548,0.8580855573668622,0.918412718131687
25,0.5305433994175023,0.9376876700637687,0.8329592335508774,0.9020905119369078,0.5219753472642465,0.9497422901066866,0.8531385931101713,0.913605453615839
26,0.5329505369873808,0.9354832668250103,0.8340293693705337,0.9032386522787654,0.4740763293071227,0.9457964179190722,0.8511318557641725,0.9125567639641691
27,0.5241863881251072,0.937201523033642,0.8362160352906499,0.9053016204474998,0.4818934581496499,0.9499544569037177,0.8599648730772912,0.9195685820146039
28,0.5194020686496017,0.938821705657872,0.839164571212171,0.9074334956472083,0.46149875833229587,0.9506647410717878,0.8619070337577301,0.9204578198718305
29,0.5208621638113278,0.938000028289621,0.8403527558791568,0.9081493873025956,0.5584686899727042,0.9238411797718569,0.787513684791823,0.8684794940618853
30,0.5192716114031963,0.9382755179011244,0.8420086276893481,0.9097794020674062,0.4556002102114938,0.9527679546312853,0.8658792016406855,0.9224176002722797
31,0.5139656146707019,0.9388884492749162,0.8413504969231976,0.9087081098473291,0.46205029636621475,0.951808359135281,0.8648172772743487,0.9225178099039827
